,CASES,DATE,NIS5,TX_ADM_DSTR_DESCR_FR,TX_ADM_DSTR_DESCR_NL,TX_DESCR_FR,TX_DESCR_NL,TX_PROV_DESCR_FR,TX_PROV_DESCR_NL,TX_RGN_DESCR_FR,TX_RGN_DESCR_NL,lat,lon
11,<5,2020-03-02,12035.0,Arrondissement de Malines,Arrondissement Mechelen,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.06217610518179,4.536060925276519
12,<5,2020-03-02,21003.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.86533609556538,4.296606171822393
13,<5,2020-03-02,21016.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Uccle,Ukkel,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.790307486703384,4.362242705536522
14,<5,2020-03-02,21018.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.8484092445705,4.430881717093668
15,<5,2020-03-02,21019.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.83369194644824,4.440542758913281
16,<5,2020-03-02,23027.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Hal (Hal-Vilvorde),Halle (Halle-Vilvoorde),Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,,
17,<5,2020-03-02,24041.0,Arrondissement de Louvain,Arrondissement Leuven,Hoegaarden,Hoegaarden,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.77842506099246,4.87718772633754
18,<5,2020-03-02,24043.0,Arrondissement de Louvain,Arrondissement Leuven,Holsbeek,Holsbeek,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.93019544989929,4.793770628641267
19,<5,2020-03-02,24104.0,Arrondissement de Louvain,Arrondissement Leuven,Tervuren,Tervuren,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.830687213771114,4.517255654165557
20,<5,2020-03-02,34041.0,Arrondissement de Courtrai,Arrondissement Kortrijk,Wevelgem,Wevelgem,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.82971065615632,3.1629644475364103
21,<5,2020-03-02,35013.0,Arrondissement dOstende,Arrondissement Oostende,Ostende,Oostende,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.214156266254264,2.9217081760305716
22,<5,2020-03-02,41063.0,Arrondissement dAlost,Arrondissement Aalst,Sint-Lievens-Houtem,Sint-Lievens-Houtem,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,50.928924348879626,3.8809829450413162
23,<5,2020-03-02,62100.0,Arrondissement de Liège,Arrondissement Luik,Sprimont,Sprimont,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,,
24,<5,2020-03-03,11002.0,Arrondissement dAnvers,Arrondissement Antwerpen,Anvers,Antwerpen,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.26055097634139,4.358436586642045
25,<5,2020-03-03,13008.0,Arrondissement de Turnhout,Arrondissement Turnhout,Geel,Geel,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.165827189116584,4.985913241166187
26,<5,2020-03-03,21001.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Anderlecht,Anderlecht,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.82868388732737,4.291930327949199
27,<5,2020-03-03,21017.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Watermael-Boitsfort,Watermaal-Bosvoorde,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.79371571551828,4.431287115924599
28,<5,2020-03-03,23016.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Dilbeek,Dilbeek,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.851502726859124,4.228472730886587
29,<5,2020-03-03,23062.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Overijse,Overijse,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.76820836120552,4.532695331577118
30,<5,2020-03-03,23099.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Kraainem,Kraainem,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.842340826230775,4.471010153441258
31,<5,2020-03-03,24045.0,Arrondissement de Louvain,Arrondissement Leuven,Huldenberg,Huldenberg,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.78818326435823,4.605249883346276
32,<5,2020-03-03,24062.0,Arrondissement de Louvain,Arrondissement Leuven,Louvain,Leuven,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.883918722280654,4.705478880658675
33,<5,2020-03-03,24066.0,Arrondissement de Louvain,Arrondissement Leuven,Lubbeek,Lubbeek,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.88203532004722,4.829526567151429
34,<5,2020-03-03,25014.0,Arrondissement de Nivelles,Arrondissement Nijvel,Braine-lAlleud,Eigenbrakel,Province du Brabant wallon,Provincie Waals-Brabant,Région wallonne,Waals Gewest,50.732198150173595,4.339937863325882
35,<5,2020-03-03,25084.0,Arrondissement de Nivelles,Arrondissement Nijvel,Perwez (Nivelles),Perwijs (Nijvel),Province du Brabant wallon,Provincie Waals-Brabant,Région wallonne,Waals Gewest,,
36,<5,2020-03-03,25091.0,Arrondissement de Nivelles,Arrondissement Nijvel,Rixensart,Rixensart,Province du Brabant wallon,Provincie Waals-Brabant,Région wallonne,Waals Gewest,,
37,<5,2020-03-03,25121.0,Arrondissement de Nivelles,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Province du Brabant wallon,Provincie Waals-Brabant,Région wallonne,Waals Gewest,,
38,<5,2020-03-03,31043.0,Arrondissement de Bruges,Arrondissement Brugge,Knokke-Heist,Knokke-Heist,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.33313177903215,3.3051149777803976
39,<5,2020-03-03,37010.0,Arrondissement de Tielt,Arrondissement Tielt,Oostrozebeke,Oostrozebeke,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.93438264434434,3.3308349450304164
40,<5,2020-03-03,37012.0,Arrondissement de Tielt,Arrondissement Tielt,Ruiselede,Ruiselede,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.063026805736875,3.386657036862349
41,<5,2020-03-03,44021.0,Arrondissement de Gand,Arrondissement Gent,Gand,Gent,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,51.08353200464957,3.714475104444717
42,<5,2020-03-03,45041.0,Arrondissement dAudenarde,Arrondissement Oudenaarde,Renaix,Ronse,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,50.75223797887103,3.6078790185401526
43,<5,2020-03-03,51017.0,Arrondissement dAth,Arrondissement Aat,Ellezelles,Elzele,Province du Hainaut,Provincie Henegouwen,Région wallonne,Waals Gewest,50.74648013726565,3.607067612019275
44,<5,2020-03-03,62003.0,Arrondissement de Liège,Arrondissement Luik,Ans,Ans,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,51.01773946396767,3.5315945169266962
45,<5,2020-03-03,62051.0,Arrondissement de Liège,Arrondissement Luik,Herstal,Herstal,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,50.84595245249991,5.355755398387586
46,<5,2020-03-03,62119.0,Arrondissement de Liège,Arrondissement Luik,Blegny,Blegny,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,,
47,<5,2020-03-03,63035.0,Arrondissement de Verviers,Arrondissement Verviers,Herve,Herve,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,50.94402583080962,5.551443316119455
48,<5,2020-03-03,71053.0,Arrondissement de Hasselt,Arrondissement Hasselt,Saint-Trond,Sint-Truiden,Province du Limbourg,Provincie Limburg,Région flamande,Vlaams Gewest,50.81327458403877,5.197414217599628
49,<5,2020-03-03,72043.0,Arrondissement de Maaseik,Arrondissement Maaseik,Pelt,Pelt,Province du Limbourg,Provincie Limburg,Région flamande,Vlaams Gewest,51.214945517817966,5.427243645849569
50,<5,2020-03-03,73001.0,Arrondissement de Tongres,Arrondissement Tongeren,Alken,Alken,Province du Limbourg,Provincie Limburg,Région flamande,Vlaams Gewest,50.88184243341255,5.297600649362976
51,<5,2020-03-03,92094.0,Arrondissement de Namur,Arrondissement Namen,Namur,Namen,Province de Namur,Provincie Namen,Région wallonne,Waals Gewest,51.20750666249797,4.386044050841274
52,<5,2020-03-04,11002.0,Arrondissement dAnvers,Arrondissement Antwerpen,Anvers,Antwerpen,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.26055097634139,4.358436586642045
53,<5,2020-03-04,11040.0,Arrondissement dAnvers,Arrondissement Antwerpen,Schoten,Schoten,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.27002647518821,4.50412649135932
54,<5,2020-03-04,12021.0,Arrondissement de Malines,Arrondissement Mechelen,Lierre,Lier,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.11924748836616,4.574699897140983
55,<5,2020-03-04,13008.0,Arrondissement de Turnhout,Arrondissement Turnhout,Geel,Geel,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.165827189116584,4.985913241166187
56,<5,2020-03-04,13036.0,Arrondissement de Turnhout,Arrondissement Turnhout,Retie,Retie,Province dAnvers,Provincie Antwerpen,Région flamande,Vlaams Gewest,51.25768729484904,5.087382220978584
57,<5,2020-03-04,21004.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Bruxelles,Brussel,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.85509855840431,4.375478353592151
58,<5,2020-03-04,21006.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Evere,Evere,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.86902287636588,4.406980264512645
59,<5,2020-03-04,21009.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Ixelles,Elsene,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.8206837552817,4.375337541177958
60,<5,2020-03-04,21010.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Jette,Jette,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.87930215861145,4.31723998090662
61,<5,2020-03-04,21018.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.8484092445705,4.430881717093668
62,<5,2020-03-04,23016.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Dilbeek,Dilbeek,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.851502726859124,4.228472730886587
63,<5,2020-03-04,23024.0,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,Gooik,Gooik,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.780811026446244,4.093532832441244
64,<5,2020-03-04,24011.0,Arrondissement de Louvain,Arrondissement Leuven,Bierbeek,Bierbeek,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.83166029578817,4.755266762440611
65,<5,2020-03-04,24041.0,Arrondissement de Louvain,Arrondissement Leuven,Hoegaarden,Hoegaarden,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.77842506099246,4.87718772633754
66,<5,2020-03-04,24043.0,Arrondissement de Louvain,Arrondissement Leuven,Holsbeek,Holsbeek,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.93019544989929,4.793770628641267
67,<5,2020-03-04,24045.0,Arrondissement de Louvain,Arrondissement Leuven,Huldenberg,Huldenberg,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.78818326435823,4.605249883346276
68,5,2020-03-04,24062.0,Arrondissement de Louvain,Arrondissement Leuven,Louvain,Leuven,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,50.883918722280654,4.705478880658675
69,<5,2020-03-04,24109.0,Arrondissement de Louvain,Arrondissement Leuven,Tremelo,Tremelo,Province du Brabant flamand,Provincie Vlaams-Brabant,Région flamande,Vlaams Gewest,51.002950872113736,4.71367071173373
70,<5,2020-03-04,25014.0,Arrondissement de Nivelles,Arrondissement Nijvel,Braine-lAlleud,Eigenbrakel,Province du Brabant wallon,Provincie Waals-Brabant,Région wallonne,Waals Gewest,50.732198150173595,4.339937863325882
71,<5,2020-03-04,31043.0,Arrondissement de Bruges,Arrondissement Brugge,Knokke-Heist,Knokke-Heist,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.33313177903215,3.3051149777803976
72,<5,2020-03-04,41002.0,Arrondissement dAlost,Arrondissement Aalst,Alost (Alost),Aalst (Aalst),Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,,
73,<5,2020-03-04,42006.0,Arrondissement de Termonde,Arrondissement Dendermonde,Termonde,Dendermonde,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,51.02877582025413,4.095270092688059
74,<5,2020-03-04,46014.0,Arrondissement de Saint-Nicolas,Arrondissement Sint-Niklaas,Lokeren,Lokeren,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,51.118039266507154,3.9653438065328626
75,<5,2020-03-04,52011.0,Arrondissement de Charleroi,Arrondissement Charleroi,Charleroi,Charleroi,Province du Hainaut,Provincie Henegouwen,Région wallonne,Waals Gewest,51.116712390301295,2.625456966413264
